scenario,Fishing,Warming,type,species,seed,term,estimate,std.error,statistic,p.value,scenario2,scenario3
Fished_NoWarming_ctrl_sardine_11,Fishing,No Warming,ctrl,sardine,11,temp,2.5836919637562313e-16,6.570174441979084e-16,0.39324556548272793,0.6949922998090907,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_12,Fishing,No Warming,ctrl,sardine,12,temp,-1.3280534226397125e-15,6.571006232269698e-16,-2.021080753382558,0.04599886639146615,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_13,Fishing,No Warming,ctrl,sardine,13,temp,-1.8037020647161792e-16,6.002246487129879e-16,-0.3005044975383314,0.7644289307011318,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_14,Fishing,No Warming,ctrl,sardine,14,temp,-1.2603739295224738e-15,6.497165130435249e-16,-1.9398828630942315,0.05526874719995886,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_15,Fishing,No Warming,ctrl,sardine,15,temp,-1.244571250439431e-16,5.865253464462965e-16,-0.21219394148610535,0.8323964476301267,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_16,Fishing,No Warming,ctrl,sardine,16,temp,-1.167392570016393e-15,6.636411472273123e-16,-1.7590720148889958,0.08168643910392079,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_17,Fishing,No Warming,ctrl,sardine,17,temp,-9.706691160858514e-17,6.068676173919078e-16,-0.1599474231723597,0.8732517030164009,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_18,Fishing,No Warming,ctrl,sardine,18,temp,-2.967048105410072e-16,6.596878268942432e-16,-0.44976547761669244,0.653872805490503,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_19,Fishing,No Warming,ctrl,sardine,19,temp,-3.932614825786507e-16,6.396046928010734e-16,-0.6148508399092701,0.5400782545825181,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_2,Fishing,No Warming,ctrl,sardine,2,temp,-9.18394407979004e-16,6.88550709478646e-16,-1.3338079466571027,0.18535841235072262,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_20,Fishing,No Warming,ctrl,sardine,20,temp,-2.192502371813659e-16,6.672196902342874e-16,-0.32860276815928263,0.7431570873975066,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_21,Fishing,No Warming,ctrl,sardine,21,temp,4.022298109971814e-16,7.142611453222549e-16,0.5631411055065951,0.5746249824571074,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
Fished_NoWarming_ctrl_sardine_22,Fishing,No Warming,ctrl,sardine,22,temp,1.3389209953019958e-15,7.06150969629021e-16,1.8960832072572285,0.060894851204517556,Fished_NoWarming_ctrl_sardine,Fished_NoWarming_ctrl
